"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"43","NM_145026","NM_032765","HGNC:22957","HGNC:19024","0","0","0","0","0","0","0","0","0",0
"44","NM_001025300","NM_152309","HGNC:31332","HGNC:30034","0.048","0.547","0.197","0.022","0.123","0.067","0.052","0.581","0.69",0
"45","NM_014700","NM_004987","HGNC:17224","HGNC:6616","0.258","0.281","0.541","0.117","0.057","0.12","0.245","0.476","0.656",0
"46","NM_000982","NM_213605","HGNC:10313","HGNC:27984","0","0","0","0","0","0","0","0","0.214",0
"47","NM_006417","NM_173660","HGNC:16938","HGNC:26594","0","0","0","0","0","0","0.025","0","0",0
"48","NM_004186","NM_024033","HGNC:10728","HGNC:22432","0.139","0","0.201","0.077","0","0.067","0.14","0","0.34",0
"49","NM_001237","NR_134270","HGNC:1578","HGNC:53085","0","0","0","0","0","0","0","0","0",0
"50","NM_173553","NM_001033032","HGNC:26378","HGNC:18703","0","0","1","0","0","0.067","0","0","1",0
"51","NM_018279","NM_144609","HGNC:25605","HGNC:26472","0","0","1","0","0","0.067","0","0","1",0
"52","NM_198501","NM_152300","HGNC:24764","HGNC:20038","0","0","0","0","0","0","0","0","0",0
"53","NR_002784","NM_138288","HGNC:33146","HGNC:20361","0","0","0","0","0","0","0","0","0",0
"54","NM_001012729","NM_014983","HGNC:32179","HGNC:28982","0","0","1","0","0","0.205","0","0","1",0
"55","NM_194314","NM_020238","HGNC:24819","HGNC:6058","0","0","0","0","0","0","0","0","0.214",0
"56","NM_001287262","NM_019090","HGNC:42540","HGNC:29265","0","0","0","0","0","0","0","0","0",0
"57","NM_001853","NM_144715","HGNC:2219","HGNC:26330","0.057","0","0","0.028","0","0","0.188","0","0.214",0
"58","NM_001203","NM_032452","HGNC:1077","HGNC:20156","0.109","0.319","0","0.057","0.152","0","0.084","0.276","0",0
"59","NM_006819","NM_003742","HGNC:11387","HGNC:42","0","0.158","0","0","0.032","0","0","0.29","0.051",0
"60","NM_001080415","NM_021068","HGNC:30855","HGNC:5425","0.063","0","1","0.028","0","0.067","0.047","0.166","1",0
"61","NR_029488","NM_145307","HGNC:31548","HGNC:19364","0.399","0.233","0","0.213","0.049","0","0.321","0.538","0",0
"62","NM_152424","NM_017782","HGNC:26837","HGNC:23484","0","0.753","1","0","0.134","0.067","0","0.85","1",0
"63","NM_015202","NR_030413","HGNC:29068","HGNC:33139","0","1","0","0","0.243","0","0","1","0",0
"64","NM_032302","NM_016733","HGNC:22420","HGNC:6614","0","0","0","0","0","0","0","0","0",0
"65","NM_001017981","NR_030616","HGNC:33434","HGNC:33661","0","0","0","0","0","0","0","0","0",0
"66","NM_001171795","NM_001007563","HGNC:27828","HGNC:20081","0","0","0","0","0","0","0","0.097","0",0
"67","NM_003304","NM_016410","HGNC:12333","HGNC:26942","0.236","0.049","0.397","0.115","0.008","0.039","0.188","0.231","0.531",0
"68","NM_016024","NM_022493","HGNC:24282","HGNC:14179","0.595","0.279","1","0.166","0.176","0.067","0.244","0.317","1",0
"69","NR_029673","NM_033626","HGNC:31514","HGNC:28910","0.022","0","0.091","0.012","0","0.03","0.099","0.078","0.276",0
"70","NM_021974","NM_001080457","HGNC:9193","HGNC:25042","0.51","0.118","0","0.252","0.016","0","0.288","0.356","0",0
"71","NM_019042","NM_152995","HGNC:26033","HGNC:18726","0","0","0","0","0","0","0","0.166","0.173",0
"72","NM_006016","NM_001982","HGNC:1632","HGNC:3431","0.58","0.431","1","0.176","0.096","0.067","0.618","0.511","1",0
"73","NM_007263","NM_015078","HGNC:2234","HGNC:30319","0","0","0","0","0","0","0","0","0",0
"74","NM_024307","NM_004216","HGNC:28638","HGNC:2755","0","0.351","0","0","0.084","0","0","0.52","0",0
"75","NM_030770","NM_201550","HGNC:14908","HGNC:20264","0","0","0","0","0","0","0","0","0",0
"76","NM_182691","NM_022735","HGNC:11306","HGNC:15453","0","0.362","0.366","0","0.079","0.045","0","0.531","0.563",0
"77","NR_003194.1","NM_001772","HGNC:32990","HGNC:1659","0","0","0","0","0","0","0","0","0",0
"78","NM_014300","NM_004998","HGNC:17718","HGNC:7599","0","0.411","0","0","0.097","0","0","0.411","0",0
"79","NM_139265","NM_020765","HGNC:3245","HGNC:30313","0.303","0.616","0.51","0.142","0.162","0.046","0.193","0.611","0.658",0
"80","NM_002343","NM_001004727","HGNC:6720","HGNC:15184","0","0.139","0","0","0.016","0","0","0.53","0",0
"81","NM_007370","NM_015908","HGNC:9973","HGNC:24101","0.385","0.596","0.546","0.147","0.156","0.113","0.427","0.597","0.658",0
"82","NM_001483","NM_174942","HGNC:4179","HGNC:27475","0.351","0.219","1","0.12","0.06","0.067","0.34","0.42","1",0
"83","NM_153741","NM_014227","HGNC:3007","HGNC:11039","0","0","0","0","0","0","0","0","0",0
"84","NM_031215","NM_002854","HGNC:16143","HGNC:9704","0","0","0","0","0","0","0","0","0",0
"85","NM_152385","NM_001937","HGNC:26453","HGNC:3011","0","0","1","0","0","0.067","0","0","1",0
"86","NM_053001","NM_181840","HGNC:15830","HGNC:19439","0.019","0.118","0","0.009","0.016","0","0.116","0.305","0.065",0
"87","NR_026936","NR_029667","HGNC:24687","HGNC:31501","0","0","0","0","0","0","0","0","0",0
"88","NG_000833","NG_001333","HGNC:5825","HGNC:12178","0","0","0","0","0","0","0","0","0",0
"89","NM_001005288","NM_001004342","HGNC:15200","HGNC:31859","0","0","0","0","0","0","0.048","0","0",0
"90","NM_022102","NM_025000","HGNC:21097","HGNC:25784","0.052","0.265","1","0.028","0.097","0.067","0.055","0.328","1",0
