,gene1,gene2,result
176,G:HGNC:391,G:HGNC:11842,"Meta path:['GDpDpDG', 'GTG'], rank is 98 and total rank is 5137"
177,G:HGNC:14897,G:HGNC:6179,"Meta path:['GTG'], rank is 4 and total rank is 394"
178,G:HGNC:13538,G:HGNC:1985,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
179,G:HGNC:4922,G:HGNC:4923,"Meta path:['GTG', 'GMDMG'], rank is 2 and total rank is 10334"
180,G:HGNC:23242,G:HGNC:19873,"Meta path:['GTG'], rank is 6 and total rank is 239"
181,G:HGNC:4125,G:HGNC:4126,"Meta path:['GTG'], rank is 1 and total rank is 331"
182,G:HGNC:1377,G:HGNC:1373,"Meta path:['GPdPG', 'GTG'], rank is 22 and total rank is 96"
183,G:HGNC:8787,G:HGNC:8794,"Meta path:['GPdPG'], rank is 1 and total rank is 18"
184,G:HGNC:9302,G:HGNC:9315,"Meta path:['GTG'], rank is 153 and total rank is 579"
185,G:HGNC:3763,G:HGNC:11809,"Meta path:['GPdPG'], rank is 30 and total rank is 62"
186,G:HGNC:8754,G:HGNC:8755,"Meta path:['GPdPG'], rank is 1 and total rank is 5"
187,G:HGNC:19139,G:HGNC:24137,"Meta path:['GTG'], rank is 47 and total rank is 226"
188,G:HGNC:4627,G:HGNC:4636,"Meta path:['GPdPG'], rank is 7 and total rank is 22"
189,G:HGNC:13312,G:HGNC:23064,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
190,G:HGNC:2279,G:HGNC:2288,"Meta path:['GTG'], rank is 21 and total rank is 95"
191,G:HGNC:4131,G:HGNC:19877,"Meta path:['GTG'], rank is 3 and total rank is 234"
192,G:HGNC:8592,G:HGNC:1985,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
193,G:HGNC:409,G:HGNC:411,"Meta path:['GPdPG'], rank is 4 and total rank is 17"
194,G:HGNC:30040,G:HGNC:17825,"Meta path:['GTG'], rank is 18 and total rank is 424"
195,G:HGNC:29149,G:HGNC:9302,"Meta path:['GMDMG'], rank is 2 and total rank is 4246"
196,G:HGNC:6863,G:HGNC:6874,"Meta path:['GTG'], rank is 117 and total rank is 563"
197,G:HGNC:8794,G:HGNC:8793,"Meta path:['GPdPG'], rank is 3 and total rank is 26"
198,G:HGNC:2730,G:HGNC:3386,"Meta path:['GPdPG'], rank is 7 and total rank is 43"
199,G:HGNC:8956,G:HGNC:33882,"Meta path:['GTG', 'GMG'], rank is 1 and total rank is 1499"
200,G:HGNC:9286,G:HGNC:9299,"Meta path:['GTG'], rank is 402 and total rank is 494"
201,G:HGNC:3391,G:HGNC:8031,"Meta path:['GPdPG'], rank is 11 and total rank is 67"
202,G:HGNC:3606,G:HGNC:3607,"Meta path:['GTG'], rank is 1 and total rank is 470"
203,G:HGNC:2460,G:HGNC:9381,"Meta path:['GTG'], rank is 137 and total rank is 617"
