G:HGNC:24073,P:Q86SJ2
G:HGNC:24075,P:Q86WK7
G:HGNC:467,P:Q9Y4X0
G:HGNC:28658,P:Q6DCA0
G:HGNC:14604,P:Q9BXJ7
G:HGNC:27281,P:Q8IY45
G:HGNC:17810,P:Q4VCS5
G:HGNC:17811,P:Q8IY63
G:HGNC:17812,P:Q9Y2J4
G:HGNC:468,P:P23109
G:HGNC:469,P:Q01433
G:HGNC:470,P:Q01432
G:HGNC:471,P:P49418
G:HGNC:473,P:P48728
G:HGNC:33188,P:Q6UX39
G:HGNC:474,P:P04745
G:HGNC:475,P:P04745
G:HGNC:476,P:P04745
G:HGNC:477,P:P04746
G:HGNC:478,P:P19961
G:HGNC:22231,P:Q400G9
G:HGNC:28041,P:Q86W34
G:HGNC:19988,P:Q9H1A4
G:HGNC:19989,P:Q9UJX6
G:HGNC:19990,P:Q9UJX5
G:HGNC:15713,P:Q9UJX4
G:HGNC:17380,P:Q9UJX3
G:HGNC:24077,P:Q9UM13
G:HGNC:14452,P:Q9NYG5
G:HGNC:24540,P:Q9BS18
G:HGNC:24531,P:P60006
G:HGNC:26976,P:Q96DE5
G:HGNC:483,P:P03950
G:HGNC:19961,P:Q9UNK9
G:HGNC:30534,P:Q5VTE6
G:HGNC:484,P:Q15389
G:HGNC:485,P:O15123
G:HGNC:487,P:Q9Y264
G:HGNC:489,P:O95841
G:HGNC:490,P:Q9UKU9
G:HGNC:491,P:Q9Y5C1
G:HGNC:16039,P:Q9BY76
G:HGNC:19705,P:Q86XS5
G:HGNC:23140,P:Q8NI99
G:HGNC:24078,P:O43827
G:HGNC:24933,P:Q6UXH0
G:HGNC:40024,P:E9PGG2
G:HGNC:492,P:P16157
G:HGNC:493,P:Q01484
G:HGNC:494,P:Q12955
G:HGNC:26350,P:Q7Z5J8
G:HGNC:28002,P:Q495B1
G:HGNC:32525,P:A6NHY2
G:HGNC:15803,P:Q9NU02
G:HGNC:26766,P:Q8N957
G:HGNC:20763,P:Q9P2R3
G:HGNC:15492,P:Q9HCJ1
G:HGNC:24714,P:Q8IWZ3
G:HGNC:22215,P:Q9P2G1
G:HGNC:21027,P:Q8NFD2
G:HGNC:26812,P:Q8NAG6
G:HGNC:29101,P:Q86XL3
G:HGNC:20987,P:Q9P2S6
G:HGNC:25370,P:Q8IV38
G:HGNC:13208,P:Q9H9E1
G:HGNC:15819,P:Q15327
G:HGNC:495,P:Q9GZV1
G:HGNC:17280,P:Q9Y2G4
G:HGNC:18588,P:Q92527
G:HGNC:20096,P:Q96BM1
G:HGNC:20265,P:Q9NXR5
G:HGNC:21316,P:Q6UB99
G:HGNC:29135,P:Q6UB98
G:HGNC:21268,P:Q8IZ07
G:HGNC:26363,P:Q86YJ7
G:HGNC:25374,P:Q8N6S4
G:HGNC:27880,P:Q6ZTN6
G:HGNC:23471,P:Q6P6B7
G:HGNC:23575,P:O75179
G:HGNC:23643,P:Q8IVF6
G:HGNC:23644,P:A2A2Z9
G:HGNC:22567,P:Q9H560
G:HGNC:23665,P:Q5TYW2
G:HGNC:31979,P:Q5SQ80
G:HGNC:31981,P:Q5VUR7
G:HGNC:31982,P:Q4UJ75
G:HGNC:33833,P:A0PJZ0
G:HGNC:23666,P:Q5CZ79
G:HGNC:43603,P:Q8NF67
G:HGNC:28321,P:Q5VYY1
G:HGNC:24470,P:Q86SG2
G:HGNC:29424,P:Q8TF21
G:HGNC:29186,P:Q9UPS8
G:HGNC:32955,P:Q6NSI1
G:HGNC:25310,P:Q96NW4
G:HGNC:29024,P:O15084
G:HGNC:27110,P:Q8N6D5
G:HGNC:17234,P:Q9BXX3
G:HGNC:24165,P:Q9BXX2
G:HGNC:35167,P:A7E2S9
G:HGNC:26853,P:Q8N7Z5
G:HGNC:13788,P:Q7Z3H0
G:HGNC:35240,P:A6NCL7
G:HGNC:27639,P:Q69YU3
G:HGNC:33736,P:A5PLL1
G:HGNC:33888,P:P0C6C1
G:HGNC:26323,P:Q8N283
G:HGNC:24079,P:A6QL64
G:HGNC:29333,P:Q8N2N9
G:HGNC:28169,P:Q96IX9
G:HGNC:32946,P:Q5JPF3
G:HGNC:29593,P:Q7Z713
G:HGNC:28640,P:Q53RE8
G:HGNC:28233,P:Q6AI12
G:HGNC:26080,P:Q53H64
G:HGNC:26752,P:Q8N9B4
G:HGNC:25259,P:Q8N8A2
G:HGNC:24786,P:Q5TZF3
G:HGNC:27229,P:Q86W74
G:HGNC:25970,P:Q8WVL7
G:HGNC:29223,P:Q9ULJ7
G:HGNC:26614,P:Q8NB46
G:HGNC:25691,P:Q8N9V6
G:HGNC:25185,P:Q6NXT1
G:HGNC:25681,P:Q3KP44
G:HGNC:16217,P:Q9BZ19
G:HGNC:22467,P:A6NGH8
G:HGNC:35241,P:A6NC57
G:HGNC:40027,P:C9JTQ0
G:HGNC:42950,P:E5RJM6
G:HGNC:44669,P:B4E2M5
G:HGNC:20961,P:Q92625
G:HGNC:24600,P:Q7Z6G8
G:HGNC:29422,P:Q6ZW76
G:HGNC:26795,P:Q8N8V4
G:HGNC:26724,P:Q68DC2
G:HGNC:29642,P:A6NFN9
G:HGNC:25527,P:Q9H8Y5
G:HGNC:14082,P:Q9NQW6
G:HGNC:21625,P:Q5XXA6
G:HGNC:1183,P:Q9NQ90
G:HGNC:14004,P:Q9BYT9
G:HGNC:23837,P:Q32M45
G:HGNC:27337,P:Q75V66
G:HGNC:25240,P:Q4KMQ2
G:HGNC:31677,P:Q6IWH7
G:HGNC:29329,P:Q9HCE9
