HGNC ID,RefSeq IDs,Enzyme IDs
HGNC:3592,NM_004461,6.1.1.20
HGNC:17800,NM_005687,6.1.1.20
HGNC:3594,NM_004104,2.3.1.85
HGNC:3606,NM_000507,3.1.3.11
HGNC:3607,NM_003837,3.1.3.11
HGNC:29500,NM_145059,2.7.1.52
HGNC:3631,NM_002004,"2.5.1.1, 2.5.1.10"
HGNC:3642,NM_004110,1.18.1.6
HGNC:3655,NM_005246,2.7.10.1
HGNC:3657,NM_002005,2.7.10.1
HGNC:3700,NM_000143,4.2.1.2
HGNC:3701,NM_002012,"3.6.1.29, 3.6.2.1, 3.9.1.-"
HGNC:24671,NM_025207,2.7.7.2
HGNC:3763,NM_002019,2.7.10.1
HGNC:3769,NM_002021,1.14.13.8
HGNC:3771,NM_006894,1.14.13.148
HGNC:3772,NM_002022,1.14.13.8
HGNC:3788,NM_004476,3.4.17.21
HGNC:3955,NM_002031,2.7.10.1
HGNC:3974,NM_006657,"2.1.2.5, 4.3.1.4"
HGNC:24678,NM_001080432,1.14.11.-
HGNC:4006,NM_000147,3.2.1.51
HGNC:4008,NM_032020,3.2.1.51
HGNC:24733,NM_198472,5.1.3.29
HGNC:4012,NM_000148,2.4.1.69
HGNC:4014,NM_000149,2.4.1.65
HGNC:4016,NM_002034,2.4.1.65
HGNC:4017,NM_000150,2.4.1.65
HGNC:4056,NM_000151,3.1.3.9
HGNC:24861,NM_138387,3.1.3.9
HGNC:4057,NM_000402,1.1.1.49
HGNC:4093,NM_000818,4.1.1.15
HGNC:4116,NM_000403,5.1.3.2
HGNC:24063,NM_138801,5.1.3.3
HGNC:4123,NM_020474,2.4.1.41
HGNC:4124,NM_004481,2.4.1.41
HGNC:4125,NM_004482,2.4.1.41
HGNC:4126,NM_003774,2.4.1.41
HGNC:4127,NM_014568,2.4.1.41
HGNC:4130,NM_017417,2.4.1.41
HGNC:4131,NM_001122636,2.4.1.41
HGNC:19873,NM_198321,2.4.1.41
HGNC:19875,NM_022087,2.4.1.41
HGNC:19877,NM_024642,2.4.1.41
HGNC:23242,NM_052917,2.4.1.41
HGNC:22946,NM_024572,2.4.1.41
HGNC:21531,NM_054110,2.4.1.41
HGNC:23233,NM_001168368,2.4.1.41
HGNC:30488,NM_198516,2.4.1.41
HGNC:4135,NM_000155,2.7.7.12
HGNC:4138,NM_198334,3.2.1.84
HGNC:4139,NM_198141,3.2.1.20
HGNC:4141,NM_002046,1.2.1.12
HGNC:4162,NM_002047,6.1.1.14
HGNC:4163,NM_000819,"2.1.2.2, 6.3.3.1, 6.3.4.13"
HGNC:4175,NM_001482,2.1.4.1
HGNC:4177,NM_000157,3.2.1.21
HGNC:18986,NM_020944,3.2.1.45
HGNC:4188,NM_014291.2,2.3.1.29
HGNC:4195,NM_000162,"2.7.1.2, 2.7.1.1"
HGNC:4312,NM_002061,6.3.2.2
HGNC:4203,NM_001097634,2.4.1.102
HGNC:4204,NM_145649,2.4.1.150
HGNC:4205,NM_004751,"2.4.1.102, 2.4.1.150"
HGNC:17973,NM_016591,2.4.1.102
